dataset,instance_index,depot,budget_miles,algorithm,collected_prize_excluding_depot,java_raw_prize_including_depot,route_distance_miles,runtime_ms,route,raw_attention_route_distance_miles,repair_applied,feasible_under_java_miles
Capital_Cities.txt,10,"Charleston,WV",6000,Attention,1112,,5986.475049,3.622293,"Charleston,WV -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Denver,CO -> Cheyenne,WY -> SantaFe,NM -> Austin,TX -> OklahomaCity,OK -> BatonRouge,LA -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Indianapolis,IN -> Columbia,SC -> Raleigh,NC -> Charleston,WV",5986.475049,false,true
Capital_Cities.txt,11,"Cheyenne,WY",6000,Attention,893,,5889.094989,3.324270,"Cheyenne,WY -> SaintPaul,MN -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Denver,CO -> SaltLakeCity,UT -> Phoenix,AZ -> SantaFe,NM -> OklahomaCity,OK -> Austin,TX -> BatonRouge,LA -> Jackson,MS -> Nashville,TN -> JeffersonCity,MO -> Cheyenne,WY",5889.094989,false,true
Capital_Cities.txt,12,"Columbia,SC",6000,Attention,1298,,5941.448682,4.283190,"Columbia,SC -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> JeffersonCity,MO -> BatonRouge,LA -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Indianapolis,IN -> Columbus,OH -> Annapolis,MD -> Albany,NY -> Augusta,ME -> Concord,NH -> Providence,RI -> Trenton,NJ -> Dover,DE -> Raleigh,NC -> Columbia,SC",5941.448682,false,true
Capital_Cities.txt,13,"Columbus,OH",6000,Attention,1076,,5370.054931,3.795862,"Columbus,OH -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Denver,CO -> Cheyenne,WY -> SantaFe,NM -> Austin,TX -> OklahomaCity,OK -> BatonRouge,LA -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Indianapolis,IN -> Columbus,OH",6070.218737,true,true
Capital_Cities.txt,14,"Concord,NH",6000,Attention,1063,,5863.027966,3.817081,"Concord,NH -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> LittleRock,AR -> Springfield,IL -> JeffersonCity,MO -> BatonRouge,LA -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Indianapolis,IN -> Columbus,OH -> Lansing,MI -> Providence,RI -> Boston,MA -> Concord,NH",5863.027966,false,true
Capital_Cities.txt,15,"Denver,CO",6000,Attention,1042,,5995.174544,3.638744,"Denver,CO -> SaintPaul,MN -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> JeffersonCity,MO -> Springfield,IL -> Nashville,TN -> Jackson,MS -> BatonRouge,LA -> Tallahassee,FL -> Atlanta,GA -> Columbia,SC -> Indianapolis,IN -> Columbus,OH -> Raleigh,NC -> Cheyenne,WY -> Denver,CO",5995.174544,false,true
Capital_Cities.txt,16,"DesMoines,IA",6000,Attention,1240,,5912.032223,3.846169,"DesMoines,IA -> Madison,WI -> Topeka,KS -> Lincoln,NE -> Denver,CO -> Cheyenne,WY -> SantaFe,NM -> Austin,TX -> OklahomaCity,OK -> BatonRouge,LA -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Indianapolis,IN -> Columbus,OH -> Springfield,IL -> JeffersonCity,MO -> DesMoines,IA",5912.032223,false,true
Capital_Cities.txt,17,"Dover,DE",6000,Attention,1275,,5898.300731,4.137993,"Dover,DE -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> LittleRock,AR -> Springfield,IL -> JeffersonCity,MO -> BatonRouge,LA -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Indianapolis,IN -> Columbus,OH -> Annapolis,MD -> Albany,NY -> Concord,NH -> Providence,RI -> Trenton,NJ -> Dover,DE",5898.300731,false,true
Capital_Cities.txt,18,"Frankfort,KY",6000,Attention,1076,,5793.918129,3.781080,"Frankfort,KY -> Madison,WI -> DesMoines,IA -> Topeka,KS -> Lincoln,NE -> Denver,CO -> Cheyenne,WY -> SantaFe,NM -> Austin,TX -> OklahomaCity,OK -> BatonRouge,LA -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Indianapolis,IN -> Columbia,SC -> Frankfort,KY",6017.897144,true,true
Capital_Cities.txt,19,"Harrisburg,PA",6000,Attention,1274,,5985.046640,4.074812,"Harrisburg,PA -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> LittleRock,AR -> Springfield,IL -> JeffersonCity,MO -> BatonRouge,LA -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Indianapolis,IN -> Columbus,OH -> Annapolis,MD -> Albany,NY -> Augusta,ME -> Concord,NH -> Harrisburg,PA",6000.287619,true,true
