dataset,instance_index,depot,budget_miles,algorithm,collected_prize_excluding_depot,java_raw_prize_including_depot,route_distance_miles,runtime_ms,route
"Capital_Cities.txt",11,"Cheyenne,WY",4000,"Greedy 2",902,1094,3937.809200,0.091750,"Cheyenne,WY -> Denver,CO -> SantaFe,NM -> OklahomaCity,OK -> JeffersonCity,MO -> Springfield,IL -> Indianapolis,IN -> Columbus,OH -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Frankfort,KY -> DesMoines,IA -> Lincoln,NE -> Cheyenne,WY"
"Capital_Cities.txt",11,"Cheyenne,WY",4000,"P-MARL",865,1057,3780.920750,1999.688542,"Cheyenne,WY -> JeffersonCity,MO -> Springfield,IL -> Indianapolis,IN -> Columbus,OH -> Frankfort,KY -> Nashville,TN -> Atlanta,GA -> Montgomery,AL -> Jackson,MS -> LittleRock,AR -> Topeka,KS -> Lincoln,NE -> OklahomaCity,OK -> Denver,CO -> Cheyenne,WY"
"Capital_Cities.txt",12,"Columbia,SC",4000,"Greedy 1",473,637,3935.071778,0.035459,"Columbia,SC -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Atlanta,GA -> Columbia,SC"
"Capital_Cities.txt",12,"Columbia,SC",4000,"Greedy 2",1021,1185,3886.329621,0.117875,"Columbia,SC -> Atlanta,GA -> Nashville,TN -> Indianapolis,IN -> Columbus,OH -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Lansing,MI -> Springfield,IL -> JeffersonCity,MO -> Frankfort,KY -> Columbia,SC"
"Capital_Cities.txt",12,"Columbia,SC",4000,"P-MARL",929,1093,3947.836611,2393.335041,"Columbia,SC -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Hartford,CT -> Richmond,VA -> Raleigh,NC -> Atlanta,GA -> Tallahassee,FL -> Montgomery,AL -> Jackson,MS -> BatonRouge,LA -> Nashville,TN -> Frankfort,KY -> Columbia,SC"
"Capital_Cities.txt",13,"Columbus,OH",4000,"Greedy 1",499,653,3864.598327,0.038583,"Columbus,OH -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> Frankfort,KY -> Columbus,OH"
"Capital_Cities.txt",13,"Columbus,OH",4000,"Greedy 2",1052,1206,3990.053547,0.113125,"Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Lansing,MI -> Springfield,IL -> JeffersonCity,MO -> DesMoines,IA -> Columbus,OH"
"Capital_Cities.txt",13,"Columbus,OH",4000,"P-MARL",999,1153,3956.683721,2619.283458,"Columbus,OH -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Boston,MA -> Providence,RI -> Hartford,CT -> Harrisburg,PA -> Richmond,VA -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Nashville,TN -> Frankfort,KY -> Charleston,WV -> Columbus,OH"
"Capital_Cities.txt",14,"Concord,NH",4000,"Greedy 1",554,678,3981.880973,0.046000,"Concord,NH -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> Columbus,OH -> Concord,NH"
"Capital_Cities.txt",14,"Concord,NH",4000,"Greedy 2",918,1042,3945.515162,0.124666,"Concord,NH -> Albany,NY -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Providence,RI -> Boston,MA -> Augusta,ME -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Harrisburg,PA -> Charleston,WV -> Hartford,CT -> Concord,NH"
"Capital_Cities.txt",14,"Concord,NH",4000,"P-MARL",998,1122,3970.566739,2378.126500,"Concord,NH -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Harrisburg,PA -> Richmond,VA -> Raleigh,NC -> Columbia,SC -> Atlanta,GA -> Nashville,TN -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> Columbus,OH -> Lansing,MI -> Augusta,ME -> Boston,MA -> Providence,RI -> Hartford,CT -> Concord,NH"
"Capital_Cities.txt",15,"Denver,CO",4000,"Greedy 1",294,412,3506.198318,0.054084,"Denver,CO -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Denver,CO"
"Capital_Cities.txt",15,"Denver,CO",4000,"Greedy 2",680,798,3959.784229,0.080708,"Denver,CO -> Cheyenne,WY -> SaltLakeCity,UT -> Helena,MT -> Salem,OR -> Olympia,WA -> Boise,ID -> SantaFe,NM -> OklahomaCity,OK -> Topeka,KS -> Denver,CO"
"Capital_Cities.txt",15,"Denver,CO",4000,"P-MARL",747,865,3530.371865,1813.754250,"Denver,CO -> JeffersonCity,MO -> Nashville,TN -> Atlanta,GA -> Columbus,OH -> Indianapolis,IN -> Springfield,IL -> DesMoines,IA -> Lincoln,NE -> SantaFe,NM -> Cheyenne,WY -> Denver,CO"
"Capital_Cities.txt",16,"DesMoines,IA",4000,"Greedy 1",451,547,3939.362680,0.035583,"DesMoines,IA -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> OklahomaCity,OK -> JeffersonCity,MO -> DesMoines,IA"
"Capital_Cities.txt",16,"DesMoines,IA",4000,"Greedy 2",1108,1204,3842.788223,0.115166,"DesMoines,IA -> JeffersonCity,MO -> Springfield,IL -> Indianapolis,IN -> Columbus,OH -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Lansing,MI -> Madison,WI -> DesMoines,IA"
"Capital_Cities.txt",16,"DesMoines,IA",4000,"P-MARL",711,807,3784.165892,2450.069208,"DesMoines,IA -> Columbia,SC -> Atlanta,GA -> Nashville,TN -> Frankfort,KY -> JeffersonCity,MO -> Topeka,KS -> Lincoln,NE -> Springfield,IL -> Indianapolis,IN -> Columbus,OH -> Charleston,WV -> Madison,WI -> DesMoines,IA"
"Capital_Cities.txt",17,"Dover,DE",4000,"Greedy 1",582,642,3984.865966,0.035959,"Dover,DE -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> Columbus,OH -> Richmond,VA -> Dover,DE"
"Capital_Cities.txt",17,"Dover,DE",4000,"Greedy 2",1010,1070,3973.200584,0.122958,"Dover,DE -> Annapolis,MD -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Trenton,NJ -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Lansing,MI -> Frankfort,KY -> Charleston,WV -> Dover,DE"
"Capital_Cities.txt",17,"Dover,DE",4000,"P-MARL",1202,1262,3858.491947,2418.451000,"Dover,DE -> Annapolis,MD -> Richmond,VA -> Raleigh,NC -> Columbia,SC -> Atlanta,GA -> Nashville,TN -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> DesMoines,IA -> Madison,WI -> Lansing,MI -> Columbus,OH -> Albany,NY -> Providence,RI -> Boston,MA -> Concord,NH -> Augusta,ME -> Trenton,NJ -> Harrisburg,PA -> Dover,DE"
"Capital_Cities.txt",18,"Frankfort,KY",4000,"Greedy 1",477,521,3852.389609,0.039084,"Frankfort,KY -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> Frankfort,KY"
"Capital_Cities.txt",18,"Frankfort,KY",4000,"Greedy 2",1081,1125,3810.760888,0.106417,"Frankfort,KY -> Indianapolis,IN -> Columbus,OH -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Lansing,MI -> Springfield,IL -> JeffersonCity,MO -> Frankfort,KY"
